City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
332,Pareora,NZ,-44.4871,171.2132,46.18,92,75,4.05,broken clouds
333,Rudbar,AF,30.15,62.6,99.36,12,0,19.66,clear sky
334,Prince Rupert,CA,54.3161,-130.3201,53.29,90,100,29.93,light rain
335,Bouillante,GP,16.1304,-61.7692,78.37,79,69,10.04,broken clouds
336,Moussoro,TD,13.6408,16.4901,82.47,55,100,12.26,overcast clouds
337,Novi Pazar,RS,43.1367,20.5122,76.06,36,0,3.0,clear sky
338,Margate,GB,51.3813,1.3862,69.91,71,2,5.01,clear sky
339,Laguna,US,38.421,-121.4238,71.64,74,0,5.75,clear sky
340,Oron,NG,4.8256,8.2343,76.69,87,89,3.51,light rain
341,Dingle,PH,10.9995,122.6711,85.71,74,87,5.55,overcast clouds
342,Bandarbeyla,SO,9.4942,50.8122,90.95,43,63,32.41,broken clouds
343,Ketchikan,US,55.3422,-131.6461,54.07,94,100,11.5,light rain
344,Carahue,CL,-38.7,-73.1667,35.06,97,85,3.6,overcast clouds
345,Terney,RU,45.0503,136.6092,62.4,96,100,10.51,overcast clouds
